year,total_demand_mwh,avg_daily_demand_mwh,peak_daily_demand_mwh
2019,264663851.00200024,725106.4411013705,867181.886
2020,250050619.61300004,683198.4142431695,862132.604
2021,256545838.78499988,702865.3117397256,875118.684
2022,250470892.6940001,686221.6238191783,836727.903
2023,246665038.51299977,675794.6260630131,837501.706
2024,248999649.15899998,680326.9102704917,822334.593
2025,256256740.90900007,702073.2627643838,861178.961
