month,avg_temperature_c,heating_degree_days,cooling_degree_days,precipitation_mm,avg_max_wind_kmh
2019-01-01,8.85483870967742,283.5,0.0,48.960000000000015,15.234838709677424
2019-02-01,11.099285714285715,193.21999999999994,0.0,15.28,13.889285714285718
2019-03-01,13.514838709677422,139.04,0.0,23.099999999999994,15.96193548387097
2019-04-01,14.429333333333334,107.12,0.0,74.44000000000001,18.316666666666666
2019-05-01,18.601935483870975,16.79999999999999,0.20000000000000284,31.660000000000004,17.225161290322582
2019-06-01,22.318,0.0,36.46000000000002,17.040000000000003,17.004666666666665
2019-07-01,25.949032258064523,0.0,122.42000000000004,28.04,15.870967741935488
2019-08-01,25.698064516129033,0.0,114.64000000000001,24.88,15.051612903225811
2019-09-01,22.52466666666667,0.0,21.540000000000024,71.42000000000002,15.381333333333332
2019-10-01,18.867741935483874,20.119999999999983,1.1000000000000014,69.17999999999999,14.29096774193548
2019-11-01,13.168000000000005,148.94,0.0,75.4,19.576000000000008
2019-12-01,11.861290322580645,190.29999999999998,0.0,81.74,17.779354838709676
2020-01-01,9.638709677419355,259.20000000000005,0.0,77.52,15.210322580645158
2020-02-01,12.885517241379311,148.32,0.0,11.159999999999998,13.760689655172415
2020-03-01,12.963225806451609,156.13999999999993,0.0,83.74000000000001,18.09612903225807
2020-04-01,15.382666666666669,78.52000000000001,0.0,91.86,15.024666666666667
2020-05-01,20.06129032258065,11.679999999999993,4.840000000000007,42.82,15.15548387096774
2020-06-01,21.998000000000005,0.03999999999999915,29.520000000000017,35.42,15.962
2020-07-01,25.963225806451618,0.0,122.86000000000004,17.52,15.052903225806455
2020-08-01,25.500000000000004,0.0,112.24000000000004,23.66,15.17935483870968
2020-09-01,22.110666666666663,0.0,26.200000000000028,43.540000000000006,14.87266666666667
2020-10-01,16.686451612903223,53.199999999999974,0.0,80.50000000000003,16.329677419354837
2020-11-01,14.23,113.1,0.0,84.12,13.656000000000002
2020-12-01,10.509032258064519,232.2199999999999,0.0,49.760000000000005,17.72967741935484
2021-01-01,8.477419354838712,295.2,0.0,70.54,17.156774193548387
