month,avg_temperature_c,heating_degree_days,cooling_degree_days,precipitation_mm,avg_max_wind_kmh
2024-09-01,21.388,0.35999999999999943,9.940000000000008,79.15999999999998,14.982666666666669
2024-10-01,18.654193548387095,16.48,0.0,158.28,16.652903225806455
2024-11-01,15.072000000000001,88.03999999999996,0.0,53.72,13.845333333333334
2024-12-01,10.49935483870968,232.51999999999995,0.0,45.68000000000002,14.013548387096776
2025-01-01,10.690967741935484,226.57999999999998,0.0,66.76,18.225161290322585
2025-02-01,11.257142857142862,188.79999999999995,0.0,33.58,12.987857142857147
2025-03-01,12.196774193548391,179.9,0.0,165.48,18.110967741935482
2025-04-01,15.694,69.17999999999999,0.0,57.900000000000006,16.193333333333335
2025-05-01,18.70322580645162,23.959999999999987,8.000000000000007,57.68000000000002,14.763870967741935
2025-06-01,25.07666666666666,0.0,94.58000000000006,19.419999999999998,14.247333333333334
2025-07-01,25.77870967741935,0.0,117.14000000000007,29.620000000000005,15.92645161290323
2025-08-01,26.38,0.0,135.7800000000001,22.380000000000003,14.544516129032255
2025-09-01,22.284666666666666,0.3999999999999986,35.60000000000002,64.8,14.624
2025-10-01,19.203225806451616,8.639999999999999,0.0,59.36000000000001,13.975483870967745
2025-11-01,13.332666666666666,140.01999999999995,0.0,72.7,16.334
2025-12-01,10.805161290322582,223.04000000000002,0.0,82.32000000000002,14.346451612903225
