date,demand_mwh,year,month,week,day_of_week,is_weekend,is_holiday,is_day_before_holiday,is_day_after_holiday,is_bridge_day,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_mm,wind_speed_max_kmh,solar_radiation_mj_m2,city_temperature_spread_c,temperature_range_c,heating_degree_days,cooling_degree_days,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,lag_1,lag_7,lag_14,lag_28,lag_364,rolling_mean_7,rolling_mean_28,rolling_mean_56,rolling_std_7,rolling_std_28,lag_1_minus_7
2020-01-14,844416.079,2020,1,3,1,False,False,False,False,False,8.120000000000001,13.320000000000002,4.4,0.0,15.98,9.18,9.5,8.920000000000002,9.879999999999999,0.0,0.23851257519407648,0.9711394088771653,0.35343541937821843,0.9354589271202359,829157.906,789031.621,656514.303,786945.087,846245.527,785691.9245714286,704003.3648214285,729082.8732678571,52436.47107728824,81200.79570422374,40126.284999999916
2020-01-15,832910.293,2020,1,3,2,False,False,False,False,False,10.040000000000001,14.52,6.46,0.04000000000000001,14.520000000000001,6.384,8.600000000000001,8.059999999999999,7.959999999999999,0.0,0.2551824131233728,0.9668929289391521,0.35343541937821843,0.9354589271202359,844416.079,820143.678,574776.72,792257.443,847911.818,793603.99,706055.9002500001,729694.6942142857,57003.900860568996,84051.30902076817,24272.40100000007
2020-01-16,822827.255,2020,1,3,3,False,False,False,False,False,11.360000000000001,16.240000000000002,7.82,0.0,15.040000000000001,8.874,7.199999999999999,8.420000000000002,6.639999999999999,0.0,0.2717767384711357,0.9623603298276545,0.35343541937821843,0.9354589271202359,832910.293,820769.614,723522.375,793728.479,849875.833,795427.7921428571,707507.78775,729897.0868928571,58186.503183765206,85925.70357077068,12140.679000000004
2020-01-17,807653.787,2020,1,3,4,False,False,False,False,False,11.620000000000001,16.400000000000002,7.840000000000001,1.32,18.58,8.41,5.0,8.560000000000002,6.379999999999999,0.0,0.2882906407095177,0.9575429528116719,0.35343541937821843,0.9354589271202359,822827.255,814759.827,754645.342,757483.61,848781.942,795721.7408571428,708547.0297499999,730024.088125,58340.855760807804,87174.03786096437,8067.427999999956
2020-01-18,729673.024,2020,1,3,5,True,False,False,False,False,10.56,14.340000000000002,7.640000000000001,2.38,16.68,5.284000000000001,6.6,6.700000000000001,7.4399999999999995,0.0,0.3047192331091634,0.9524422234305676,0.35343541937821843,0.9354589271202359,807653.787,732531.725,702390.878,666815.843,766537.72,794706.5922857142,710338.8217857142,729931.1263571429,58015.29111685153,88719.05586802223,75122.06200000003
2020-01-19,689820.886,2020,1,3,6,True,False,False,False,False,9.5,11.82,7.18,6.359999999999999,33.160000000000004,6.28,6.8,4.640000000000001,8.5,0.0,0.321057654185271,0.9470596510722283,0.35343541937821843,0.9354589271202359,729673.024,693449.101,651967.486,621188.286,705583.355,794298.2064285715,712583.7211071429,730343.2058571428,58533.64765835754,88371.55719124855,36223.92299999995
2020-01-20,846106.888,2020,1,4,0,False,False,False,False,False,7.28,9.04,5.780000000000001,11.280000000000001,35.14,5.19,6.499999999999999,3.259999999999998,10.719999999999999,0.0,0.3373010691361842,0.9413968285264122,0.46324623590987735,0.8862296118474773,689820.886,829157.906,630259.532,675581.844,828406.838,793779.8899999999,715034.885392857,730912.0146964286,59582.177570012274,86678.23823960795,-139337.0199999999
2020-01-21,862132.604,2020,1,4,1,False,False,False,False,False,8.76,10.520000000000001,7.0600000000000005,24.240000000000002,29.46,3.778,6.0,3.460000000000001,9.24,0.0,0.3534446712740877,0.9354554315134164,0.46324623590987735,0.8862296118474773,846106.888,844416.079,789031.621,622147.62,864855.303,796201.1731428572,721125.0655357142,732199.1460178571,61570.67446316931,89740.15116335155,1690.8090000000084
2020-01-22,841706.187,2020,1,4,2,False,False,False,False,False,9.82,11.860000000000001,8.36,9.18,19.34,4.574,6.5,3.5000000000000018,8.18,0.0,0.3694836834473831,0.9292372181882051,0.46324623590987735,0.8862296118474773,862132.604,832910.293,820143.678,541452.518,854462.174,798732.1052857144,729695.9578214287,733563.043125,64191.282934383256,91382.11662778504,29222.311000000103
2020-01-23,829427.103,2020,1,4,3,False,False,False,False,False,9.6,12.440000000000001,6.840000000000001,5.22,14.46,6.19,7.0,5.6000000000000005,8.4,0.0,0.38541335945432564,0.9227440286201427,0.46324623590987735,0.8862296118474773,841706.187,822827.255,820769.614,632220.615,837075.708,799988.6615714285,740419.3031428572,734762.2840892856,65052.15276534058,85928.4022572842,18878.93200000003
