model,backtest_mae_mean_mwh,backtest_mae_std_mwh,backtest_rmse_mean_mwh,backtest_smape_mean_pct,backtest_wape_mean_pct,backtest_bias_mean_mwh,folds,mae_mwh,rmse_mwh,smape_pct,wape_pct,bias_mwh,mase_7d,feature_count,selected,uses_realized_weather
hgb_weather_informed,9912.240096845591,3113.0208066684345,13155.92044317578,1.466139898441714,1.4534277523053476,-1107.0853400555854,12,12455.180070825156,19159.70215586702,1.80470882720539,1.7740570295731553,-2667.1063629979617,0.3795424354590498,32,True,True
hgb_autoregressive,12074.890749881897,3887.752354417,15374.823274263721,1.7711093140999876,1.7632476324325184,223.41887917241795,12,14211.60541815658,21296.163333916036,2.058352410544279,2.0242339613103892,-3189.1503974466887,0.43306538336003597,22,False,False
ridge_autoregressive,13927.596120779608,4715.806523858813,17604.109256472133,2.0478986879414816,2.0303052665814136,-46.51430016454799,12,16895.579683334214,24059.933728760647,2.4433575923305497,2.406526580546393,-3402.4575848105055,0.5148532116790403,22,False,False
seasonal_naive_7d,28430.451836309527,13601.57455483959,38068.17618784051,4.147005193201443,4.1295931927534495,490.0158005952391,12,32816.30433698629,46232.984053778964,4.738029177326727,4.674199414427704,-669.4100465753431,1.0,1,False,False
seasonal_naive_364d,31417.84514880952,13753.018650724867,39881.25177078916,4.592091672029743,4.554030363992637,-3506.4074583333327,12,39450.19147671232,53566.61883729446,5.693438562623791,5.619098970010463,-21724.40801369863,1.202152170201846,1,False,False
