model,backtest_mae_mean_mwh,backtest_mae_std_mwh,backtest_rmse_mean_mwh,backtest_smape_mean_pct,backtest_wape_mean_pct,backtest_bias_mean_mwh,folds
hgb_weather_informed,9912.240096845591,3113.0208066684345,13155.92044317578,1.466139898441714,1.4534277523053476,-1107.0853400555854,12
hgb_autoregressive,12074.890749881897,3887.752354417,15374.823274263721,1.7711093140999876,1.7632476324325184,223.41887917241795,12
ridge_autoregressive,13927.596120779608,4715.806523858813,17604.109256472133,2.0478986879414816,2.0303052665814136,-46.51430016454799,12
seasonal_naive_7d,28430.451836309527,13601.57455483959,38068.17618784051,4.147005193201443,4.1295931927534495,490.0158005952391,12
seasonal_naive_364d,31417.84514880952,13753.018650724867,39881.25177078916,4.592091672029743,4.554030363992637,-3506.4074583333327,12
