origin,model,mae_mwh,rmse_mwh,smape_pct,wape_pct,bias_mwh,mase_7d
2024-01-01,seasonal_naive_7d,47974.50914285715,67265.52501078065,6.710149662790042,6.666792738646705,-13752.467071428578,1.0
2024-01-01,seasonal_naive_364d,51343.47060714286,59393.958861239844,7.169425880085376,7.1349615272006295,-4297.738607142861,1.0702239902914632
2024-01-01,ridge_autoregressive,24671.27442892152,28617.022754999296,3.5183590171761336,3.4284514037676828,1110.3836319780426,0.5142579855367794
2024-01-01,hgb_autoregressive,21777.912397963613,27352.827417468092,3.021975545983728,3.026374439919514,4771.876631304767,0.4539475814773624
2024-01-01,hgb_weather_informed,14895.412017464621,21150.103829432115,2.101319653579342,2.0699456117722326,-4738.001950510029,0.31048597022867874
2024-02-01,seasonal_naive_7d,20130.140785714284,25188.909729997424,2.9530595293716053,2.8757825332767415,-1664.527857142854,1.0
2024-02-01,seasonal_naive_364d,33911.68267857143,38139.06016702631,4.654238527517362,4.844607186764826,33911.68267857143,1.684622230890579
2024-02-01,ridge_autoregressive,13190.151398213742,15984.625048761804,1.8943689493161826,1.884338882973834,3781.1334241774625,0.6552438722919598
2024-02-01,hgb_autoregressive,10426.769241438535,13442.876953162937,1.5167748145058708,1.489563395617958,4769.037372533827,0.5179680237923661
2024-02-01,hgb_weather_informed,7074.897383174028,9542.930776507075,1.0231849153105301,1.010716543706242,2333.732354416853,0.35145791867461035
2024-03-01,seasonal_naive_7d,27361.714464285724,34686.04493701432,4.036069541451049,4.034150657198389,14718.931035714286,1.0
2024-03-01,seasonal_naive_364d,31344.850499999997,37732.61175873794,4.732352204407424,4.621415423708582,-21372.02664285714,1.145573335359278
2024-03-01,ridge_autoregressive,14280.32490126647,19571.437153562743,2.080397934190514,2.1054595157275546,1787.88417516196,0.5219089951364733
2024-03-01,hgb_autoregressive,15687.595000846302,19803.292950207902,2.3291779152517167,2.3129443063639674,1629.6435899762687,0.5733410828960577
2024-03-01,hgb_weather_informed,14438.704978815538,18976.6104821381,2.1510393582532674,2.1288107240286895,944.2169074954581,0.5276973779425214
2024-04-01,seasonal_naive_7d,18241.149178571435,28496.23744336061,2.8720832995097396,2.8438214689569405,-4298.9693214285735,1.0
2024-04-01,seasonal_naive_364d,29934.581642857138,47175.33946625807,4.88400535178652,4.666844457376908,-28008.997214285708,1.6410469181416716
2024-04-01,ridge_autoregressive,9221.204797883709,11798.258477218913,1.4175655411134178,1.437599129153339,-2951.4689814705466,0.5055166594830662
2024-04-01,hgb_autoregressive,10136.308060084948,12711.033436786189,1.5580508594122624,1.5802650477248255,-2875.5400235312286,0.5556836337916939
2024-04-01,hgb_weather_informed,10349.653259527267,13601.484982130904,1.6054643198302914,1.6135258720585084,-3128.8199766351568,0.567379453904439
2024-05-01,seasonal_naive_7d,18060.49103571428,30895.44708758694,2.8726235139892817,2.888670546794957,5011.327749999997,1.0
2024-05-01,seasonal_naive_364d,14277.501357142846,22347.581416851113,2.2969437661110934,2.2836033400557225,-1754.3949999999936,0.7905378280639965
2024-05-01,ridge_autoregressive,9548.392806553622,12454.242139745727,1.5113706354347378,1.5272099199837417,1103.7385258164556,0.5286895460190897
2024-05-01,hgb_autoregressive,7005.129280949739,8673.780932895816,1.1077218834694063,1.12042970428407,-2855.4692696730613,0.3878703667080385
2024-05-01,hgb_weather_informed,6764.682458176378,8804.685622951089,1.0755748052029475,1.0819716328151197,-3041.260658806456,0.37455695112604337
2024-06-01,seasonal_naive_7d,19895.30449999999,23932.273845929754,2.986254929389025,3.0221745242308358,-7471.790999999997,1.0
2024-06-01,seasonal_naive_364d,30034.709785714298,36865.15673437751,4.509415189286928,4.562389822033253,8859.062000000009,1.5096381050973264
2024-06-01,ridge_autoregressive,11735.06885413086,14572.238339458081,1.7467643778773336,1.782602831288611,-742.7850494880653,0.5898411282989343
2024-06-01,hgb_autoregressive,10875.231792891418,16087.56032731312,1.645927656133251,1.6519902205860533,4265.306079460545,0.546623038259677
2024-06-01,hgb_weather_informed,8229.951945379658,13229.20829955236,1.2438557421958258,1.2501618713586626,3236.8634607215813,0.41366303015767675
2024-07-01,seasonal_naive_7d,23104.458821428572,25828.60804592342,3.2315117419946233,3.177719411488668,-18650.439250000003,1.0
2024-07-01,seasonal_naive_364d,36628.453285714284,42956.41533637562,4.924834652597136,5.037769891881993,15837.13628571429,1.5853413217254275
2024-07-01,ridge_autoregressive,15055.519412219832,18171.696410543373,2.0667281026490483,2.070691923841274,-5971.65184128657,0.6516283081366254
2024-07-01,hgb_autoregressive,11964.738393381658,14101.668705643275,1.6447778035447242,1.6455949797348157,378.36755472937614,0.5178540854756911
2024-07-01,hgb_weather_informed,7878.783201518278,10495.108733706556,1.0893704382096454,1.0836247025684467,-142.77270545001375,0.34100704380969893
2024-08-01,seasonal_naive_7d,44316.65553571427,57931.74541698439,6.156935589731241,6.125878499633423,8130.468535714293,1.0
2024-08-01,seasonal_naive_364d,57979.28842857142,63650.53096341456,8.158411765285841,8.014460299748928,-23031.552142857137,1.30829566734445
2024-08-01,ridge_autoregressive,13838.805416012861,17543.1210358435,1.9734382753392825,1.9129340771269328,-2286.6307190273865,0.3122709791324467
2024-08-01,hgb_autoregressive,11687.330291408829,14235.327267754406,1.6503709718840232,1.615536291825047,-5017.143695811342,0.2637232018104378
2024-08-01,hgb_weather_informed,8783.916830464997,11554.969701446857,1.221584438418152,1.2141982873899293,-3023.3650640767714,0.1982080264018602
2024-09-01,seasonal_naive_7d,23574.28946428571,30302.58042362507,3.441528275348651,3.5200005425262355,20560.565964285714,1.0
2024-09-01,seasonal_naive_364d,17694.910821428562,24675.917213231038,2.69111998138366,2.6421197459946075,-11241.046535714288,0.7506020848787737
2024-09-01,ridge_autoregressive,12820.934831067716,15657.443628968165,1.896588541449526,1.9143608815621744,7354.505155840627,0.5438524393488516
2024-09-01,hgb_autoregressive,10695.641763781567,13534.181154177757,1.6038937350621723,1.5970222503721225,1303.3608119494872,0.4536994330193968
2024-09-01,hgb_weather_informed,9219.928386899035,11575.38707370322,1.3810496769939058,1.3766757625125732,606.4067251789301,0.3911010086164815
2024-10-01,seasonal_naive_7d,15922.454964285733,18339.075719692693,2.4845563448453496,2.4380071546589344,-1555.2254642857172,1.0
2024-10-01,seasonal_naive_364d,13847.61846428572,23558.673035279808,2.1555103964999702,2.120313291300945,-7875.512392857149,0.8696911685632714
2024-10-01,ridge_autoregressive,13292.924436543262,19777.63963398639,2.138673607694957,2.0353799056317103,471.5942338924921,0.8348539509993566
2024-10-01,hgb_autoregressive,10938.237572652375,13609.178911596686,1.708761807426411,1.6748360426392292,-2154.9250010558876,0.6869692894209455
2024-10-01,hgb_weather_informed,8537.962919284062,10484.393355248158,1.3330034874587255,1.3073118894113318,-2939.4090651147126,0.5362215147371948
2024-11-01,seasonal_naive_7d,25367.279642857146,35511.79523179949,3.9177271443087935,3.8281433019078586,-6989.450499999994,1.0
2024-11-01,seasonal_naive_364d,21471.08075,29855.032963541933,3.2787731349579565,3.240172975385611,10069.855392857135,0.8464084857457617
2024-11-01,ridge_autoregressive,8486.25424599174,10363.677165065166,1.2895784287678709,1.2806496324184253,72.47033615696793,0.3345354474531241
2024-11-01,hgb_autoregressive,8536.149278266743,11037.336268621455,1.274753027362654,1.28817922708885,-1805.0442683490567,0.3365023525756862
2024-11-01,hgb_weather_informed,7633.022251794385,9271.60124855557,1.1561020017972208,1.1518894977273646,-4175.032548994013,0.30090030776885734
2024-12-01,seasonal_naive_7d,57216.97450000001,78439.87136139133,8.101562745687916,8.133976933721705,11841.766785714297,1.0
2024-12-01,seasonal_naive_364d,38545.993464285704,52224.743333136175,5.6500692144376465,5.479706406459633,-13173.357321428568,0.6736810850473349
2024-12-01,ridge_autoregressive,20990.297920549965,26737.909289512434,3.0409508442887736,2.9839850955016867,-4287.344493726015,0.36685438375547036
2024-12-01,hgb_autoregressive,15167.64592491704,19908.814965537014,2.191125749163631,2.156235683033768,271.5567685353204,0.26508996774929156
2024-12-01,hgb_weather_informed,15139.965529648853,19184.561212737368,2.2121299440507163,2.152300632315074,782.4184411073054,0.2646061883200212
